Question,Intent
Please Is average package available at NIET?,placement
What are the subjects in Data Science?,ai_courses
Please What services are included in college fees?,fees
Please What is admission?,admissions
Can I apply for Computer Science Engineering?,cse_courses
I want to know Can you explain about Civil department?,civil_courses
Please Give me details of MCA fees,fees
I want to know Can I apply for mess?,hostel
I want to know What is the syllabus for Artificial Intelligence?,ai_courses
Kindly Career opportunities in wifi,infrastructure
Kindly Duration of gym course?,infrastructure
Please Can you explain about JEE admission?,admissions
Tell me about Civil department,civil_courses
Does NIET offer highest package?,placement
Can you please Placement details for Electrical course,electrical_courses
I want to know Give me details of CS branch,cse_courses
Can you please What is gym?,infrastructure
Kindly Give details about sports facilities,infrastructure
Please What is wifi?,hostel
Can I apply for hostel facilities?,hostel
Kindly Can I apply for mess?,hostel
Please Can you explain about hostel fees?,hostel
Kindly Is AI program available at NIET?,ai_courses
I want to know What are the subjects in Mechanical branch?,mechanical_courses
Tell me about M.Tech fees,fees
Kindly Provide some information on hostel facilities,hostel
Can you please What is the syllabus for Electrical Engineering?,electrical_courses
Please Tell me about mess facility,hostel
Can you explain about companies?,placement
I want to know Placement details for Civil department,civil_courses
Kindly Eligibility for highest package?,placement
Can you please Is Data Science available at NIET?,ai_courses
Can you explain about M.Tech fees?,fees
Kindly What are the subjects in AI and ML?,ai_courses
Kindly How is the mess at NIET?,hostel
Kindly Does NIET offer Electrical department?,electrical_courses
Please How is Electrical course at NIET?,electrical_courses
Can you please What is the syllabus for hostel facilities?,hostel
Kindly Tell me about tuition fee facility,fees
I want to know Duration of average package course?,placement
Please How is Data Science at NIET?,ai_courses
What is the syllabus for Data Science?,ai_courses
Can I apply for admission?,admissions
Can you please What courses are offered in Machine Learning?,ai_courses
I want to know What services are included in wifi?,hostel
Please What are the subjects in admission form?,admissions
Kindly Does NIET offer Computer Science?,cse_courses
I want to know Career opportunities in highest package,placement
Kindly Duration of canteen course?,infrastructure
Can you please Placement details for Electrical branch,electrical_courses
Can you please What is college fees?,fees
Can you please Give me details of placement training,placement
Please What are the subjects in M.Tech fees?,fees
Kindly Give details about library,infrastructure
Hostel fees for AI and ML students?,ai_courses
Please Provide some information on Mechanical Engineering,mechanical_courses
Please Tell me about girls hostel facility,hostel
I want to know Provide some information on admission form,admissions
I want to know What are the subjects in placement?,placement
Please Fees for tuition fee program?,fees
Can you please How is admission at NIET?,admissions
Kindly What labs are available for companies students?,placement
Kindly Does NIET have ac room?,hostel
Does NIET offer hostel?,hostel
Kindly Placement details for Civil branch,civil_courses
Kindly Fees for Electrical branch program?,electrical_courses
Career opportunities in canteen,infrastructure
I want to know What labs are available for canteen students?,infrastructure
Can you please Placement details for average package,placement
Hostel fees for Electrical course students?,electrical_courses
Please Placement details for admission process,admissions
Kindly What labs are available for hostel fees students?,hostel
Can you please Does NIET offer AI program?,ai_courses
I want to know What is sports facilities?,infrastructure
Please What courses are offered in Civil course?,civil_courses
I want to know What services are included in gym?,infrastructure
Please Duration of admission date course?,admissions
Please What is the syllabus for companies?,placement
Please What services are included in M.Tech fees?,fees
Can you please Can you explain about Computer Science?,cse_courses
Can you please Give details about Electrical branch,electrical_courses
I want to know Placement details for placement,placement
Please How is Civil Engineering at NIET?,civil_courses
Can you please Is B.Tech fees available at NIET?,fees
Is canteen free for students?,infrastructure
Kindly Does NIET offer boys hostel?,hostel
I want to know How is Civil department at NIET?,civil_courses
What are the subjects in Electrical course?,electrical_courses
I want to know Provide some information on gym,infrastructure
Please Hostel fees for canteen students?,infrastructure
Can you please What labs are available for internship students?,placement
Please Fees for Civil Engineering program?,civil_courses
Can you please Is MCA fees available on campus?,fees
I want to know Is hostel available on campus?,hostel
Is CS branch available at NIET?,cse_courses
Kindly Provide some information on Electrical course,electrical_courses
Kindly Hostel fees for college fees students?,fees
Kindly Tell me about wifi,infrastructure
Kindly Tell me about installment payment,fees
I want to know Give me information about installment payment at NIET,fees
Kindly Does NIET offer wifi?,hostel
Please Does NIET offer CS branch?,cse_courses
Please Provide some information on companies,placement
How is the library at NIET?,infrastructure
Please What labs are available for ac room students?,hostel
I want to know Fees for canteen program?,infrastructure
Please Hostel fees for wifi students?,hostel
I want to know What courses are offered in AI and ML?,ai_courses
Please Eligibility for CS branch?,cse_courses
Please Fees for internship program?,placement
Duration of admission form course?,admissions
Kindly Hostel fees for companies students?,placement
What courses are offered in hostel facilities?,hostel
Please How is the wifi at NIET?,infrastructure
I want to know What are the subjects in B.Tech fees?,fees
Give details about Mechanical department,mechanical_courses
Kindly Tell me about MCA fees,fees
I want to know What is the syllabus for AI and ML?,ai_courses
Kindly Tell me about hostel facilities,hostel
I want to know What courses are offered in admission?,admissions
Does hostel provide campus?,infrastructure
I want to know Eligibility for Civil Engineering?,civil_courses
I want to know What labs are available for Mechanical department students?,mechanical_courses
Can you please Is Mechanical department available at NIET?,mechanical_courses
Please Can you explain about Electrical department?,electrical_courses
I want to know How is admission at NIET?,admissions
Can you please Does NIET have girls hostel?,hostel
Kindly Tell me about gym,infrastructure
Please Does NIET offer Mechanical course?,mechanical_courses
Kindly Placement details for admission,admissions
What services are included in sports facilities?,infrastructure
Hostel fees for B.Tech fees students?,fees
Kindly What is the syllabus for hostel fees?,hostel
What is Electrical course?,electrical_courses
How is the medical facilities at NIET?,infrastructure
Tell me about highest package,placement
Please Give me details of Data Science,ai_courses
I want to know Can you explain about MCA fees?,fees
I want to know Give me information about canteen at NIET,infrastructure
Please What courses are offered in mess?,hostel
Can you please Career opportunities in sports facilities,infrastructure
Kindly Eligibility for admission process?,admissions
Fees for mess program?,hostel
Can you please Can you explain about M.Tech fees?,fees
I want to know Eligibility for hostel?,hostel
Placement details for Electrical branch,electrical_courses
Fees for tuition fee program?,fees
Does NIET offer CS branch?,cse_courses
Kindly Can you explain about Data Science?,ai_courses
Fees for installment payment program?,fees
Kindly Hostel fees for Mechanical Engineering students?,mechanical_courses
I want to know What are the subjects in wifi?,hostel
Kindly Is campus available at NIET?,infrastructure
Kindly What are the subjects in campus?,infrastructure
I want to know Does NIET offer M.Tech fees?,fees
I want to know Can I apply for AI and ML?,ai_courses
Can you please Does NIET offer girls hostel?,hostel
Please Does hostel provide college fees?,fees
Kindly Tell me about girls hostel facility,hostel
Can you please Eligibility for placement?,placement
Please What is Civil Engineering?,civil_courses
I want to know Tell me about companies,placement
Can you please Hostel fees for hostel facilities students?,hostel
I want to know Eligibility for Computer Science?,cse_courses
I want to know Is Civil department available at NIET?,civil_courses
I want to know Fees for direct admission program?,admissions
I want to know Hostel fees for JEE admission students?,admissions
Give details about Mechanical course,mechanical_courses
I want to know Can you explain about Data Science?,ai_courses
Can you please Give details about college fees,fees
Please What courses are offered in wifi?,hostel
Kindly Career opportunities in tuition fee,fees
Please Can I apply for sports facilities?,infrastructure
Kindly Can you explain about MBA fees?,fees
I want to know Career opportunities in library,infrastructure
Can you please Fees for admission process program?,admissions
I want to know How is Computer Science at NIET?,cse_courses
Can I apply for placement?,placement
Please What is the syllabus for ac room?,hostel
Can you please Tell me about JEE admission,admissions
Please What labs are available for Artificial Intelligence students?,ai_courses
Kindly What is Electrical Engineering?,electrical_courses
Can you please Fees for ac room program?,hostel
Kindly Tell me about library,infrastructure
What courses are offered in girls hostel?,hostel
I want to know Fees for gym program?,infrastructure
I want to know Does NIET offer Data Science?,ai_courses
Kindly Does NIET offer Civil course?,civil_courses
Please Hostel fees for campus students?,infrastructure
Please Can you explain about CSE?,cse_courses
Can you please Is boys hostel available at NIET?,hostel
I want to know Does hostel provide mess?,hostel
Placement details for Electrical Engineering,electrical_courses
What services are included in B.Tech fees?,fees
I want to know Tell me about highest package,placement
Please Is campus available at NIET?,infrastructure
Can you please Tell me about companies,placement
Kindly Career opportunities in medical facilities,infrastructure
I want to know What services are included in tuition fee?,fees
Kindly Give details about Civil course,civil_courses
Can you please Tell me about AI and ML,ai_courses
What courses are offered in wifi?,hostel
Can you please Career opportunities in Civil course,civil_courses
Kindly Provide some information on Mechanical branch,mechanical_courses
Can you please Can you explain about sports facilities?,infrastructure
Kindly What is the syllabus for Machine Learning?,ai_courses
Kindly Tell me about gym facility,infrastructure
Does NIET offer internship?,placement
What is the syllabus for Electrical Engineering?,electrical_courses
Can you please What courses are offered in Mechanical department?,mechanical_courses
I want to know Is ac room available on campus?,hostel
Can you please Placement details for Computer Science,cse_courses
Tell me about B.Tech fees facility,fees
Can you please Eligibility for direct admission?,admissions
I want to know Fees for boys hostel program?,hostel
Please What courses are offered in Electrical Engineering?,electrical_courses
I want to know Provide some information on companies,placement
Can you please Does hostel provide MCA fees?,fees
Can you please Provide some information on admission date,admissions
I want to know What is college fees?,fees
What services are included in mess?,hostel
Kindly What are the subjects in admission process?,admissions
Fees for wifi program?,infrastructure
Can you please Can I apply for internship?,placement
Give me details of wifi,infrastructure
What is AI and ML?,ai_courses
I want to know Can you explain about CSE?,cse_courses
I want to know What courses are offered in MBA fees?,fees
I want to know Does NIET offer library?,infrastructure
Please What services are included in hostel fees?,hostel
I want to know Provide some information on B.Tech fees,fees
Kindly Hostel fees for Electrical department students?,electrical_courses
Can you please Can you explain about college fees?,fees
Can you please Give details about installment payment,fees
I want to know Eligibility for MCA fees?,fees
Can you please What is Electrical department?,electrical_courses
Placement details for wifi,hostel
I want to know What are the subjects in highest package?,placement
I want to know Give me details of direct admission,admissions
Please What are the subjects in Electrical Engineering?,electrical_courses
I want to know What courses are offered in Civil Engineering?,civil_courses
Kindly How is Mechanical branch at NIET?,mechanical_courses
Please Is wifi available on campus?,infrastructure
Can you please Career opportunities in wifi,infrastructure
I want to know Provide some information on Civil course,civil_courses
Please Provide some information on placement,placement
I want to know Give details about canteen,infrastructure
Please What courses are offered in library?,infrastructure
Give me details of placement training,placement
Kindly What are the subjects in boys hostel?,hostel
Please Is companies available at NIET?,placement
I want to know What are the subjects in average package?,placement
Placement details for Civil Engineering,civil_courses
How is the MCA fees at NIET?,fees
Kindly What labs are available for boys hostel students?,hostel
Kindly Career opportunities in M.Tech fees,fees
Can you please What services are included in boys hostel?,hostel
Can you please Tell me about wifi,hostel
I want to know What courses are offered in mess?,hostel
Please What courses are offered in admission date?,admissions
Please What are the subjects in admission?,admissions
I want to know Can you explain about hostel fees?,hostel
Can you please Tell me about girls hostel facility,hostel
Can you please How is MCA fees at NIET?,fees
Can you please Hostel fees for CS branch students?,cse_courses
Please Placement details for Civil department,civil_courses
Please Tell me about Mechanical department,mechanical_courses
Can you please Is girls hostel free for students?,hostel
Duration of Mechanical department course?,mechanical_courses
Please Give details about Electrical Engineering,electrical_courses
Kindly Give details about Artificial Intelligence,ai_courses
I want to know What is direct admission?,admissions
Kindly Duration of MCA fees course?,fees
Career opportunities in JEE admission,admissions
Kindly Is college fees available on campus?,fees
I want to know How is the girls hostel at NIET?,hostel
Provide some information on Electrical Engineering,electrical_courses
I want to know Duration of highest package course?,placement
Can you please What is Civil branch?,civil_courses
Kindly Can I apply for hostel facilities?,hostel
Kindly What is the syllabus for Mechanical Engineering?,mechanical_courses
Please Hostel fees for Data Science students?,ai_courses
Kindly Give me details of college fees,fees
I want to know Give me details of placement,placement
Can you please What services are included in library?,infrastructure
Please Does NIET offer hostel fees?,hostel
Tell me about Computer Science Engineering,cse_courses
Please What courses are offered in MCA fees?,fees
Kindly Is hostel facilities available on campus?,hostel
Eligibility for M.Tech fees?,fees
I want to know Eligibility for Civil branch?,civil_courses
What labs are available for AI and ML students?,ai_courses
Eligibility for Electrical department?,electrical_courses
Can you please Eligibility for Mechanical course?,mechanical_courses
Please Tell me about MCA fees,fees
I want to know Hostel fees for Civil Engineering students?,civil_courses
Can you please Does hostel provide gym?,infrastructure
Please Career opportunities in Electrical Engineering,electrical_courses
Can you explain about MBA fees?,fees
I want to know Tell me about wifi,hostel
Give details about Machine Learning,ai_courses
Kindly Eligibility for placement?,placement
Kindly Can you explain about Computer Science Engineering?,cse_courses
Can you please Hostel fees for Computer Science students?,cse_courses
I want to know Does NIET have gym?,infrastructure
Is M.Tech fees free for students?,fees
Does NIET offer Electrical Engineering?,electrical_courses
Kindly Eligibility for wifi?,infrastructure
Provide some information on placement training,placement
Give me details of Mechanical department,mechanical_courses
Please Can I apply for JEE admission?,admissions
Please How is tuition fee at NIET?,fees
Kindly Give me information about college fees at NIET,fees
Can you please Give details about ac room,hostel
Hostel fees for college fees students?,fees
Kindly What labs are available for hostel facilities students?,hostel
I want to know Can I apply for Computer Science?,cse_courses
Fees for medical facilities program?,infrastructure
Give me details of admission,admissions
Please Does NIET offer admission form?,admissions
Kindly Can you explain about admission date?,admissions
Kindly Eligibility for B.Tech fees?,fees
Please Eligibility for ac room?,hostel
Please How is admission process at NIET?,admissions
I want to know Career opportunities in Mechanical branch,mechanical_courses
Please What are the features of wifi?,hostel
I want to know Placement details for Machine Learning,ai_courses
I want to know Can you explain about campus?,infrastructure
Can you please Placement details for JEE admission,admissions
What is AI program?,ai_courses
Kindly Duration of admission course?,admissions
Please What courses are offered in tuition fee?,fees
Is wifi available at NIET?,hostel
Kindly Provide some information on admission date,admissions
Kindly Eligibility for wifi?,hostel
Kindly How is the installment payment at NIET?,fees
Please Give me details of medical facilities,infrastructure
What is the syllabus for companies?,placement
I want to know Eligibility for Artificial Intelligence?,ai_courses
Can you please Give details about MBA fees,fees
Can you please Eligibility for Civil branch?,civil_courses
Kindly Fees for Electrical course program?,electrical_courses
Please Hostel fees for mess students?,hostel
Kindly What is the syllabus for average package?,placement
Kindly Fees for CS branch program?,cse_courses
Please Can you explain about MCA fees?,fees
What services are included in college fees?,fees
Please Fees for Data Science program?,ai_courses
Kindly Hostel fees for admission form students?,admissions
Please Placement details for wifi,infrastructure
Kindly What is Mechanical branch?,mechanical_courses
Please What courses are offered in Computer Science Engineering?,cse_courses
I want to know What are the subjects in Computer Science Engineering?,cse_courses
Please Is hostel available on campus?,hostel
I want to know Career opportunities in MBA fees,fees
Please What courses are offered in Mechanical course?,mechanical_courses
Kindly Does NIET offer placement?,placement
I want to know Tell me about campus,infrastructure
Can you please Provide some information on admission,admissions
Please Is MBA fees free for students?,fees
I want to know Duration of Machine Learning course?,ai_courses
I want to know Give details about Civil Engineering,civil_courses
Can you please Can you explain about admission process?,admissions
Kindly Fees for Civil course program?,civil_courses
Can you please Does NIET offer Electrical department?,electrical_courses
Kindly Duration of Civil course course?,civil_courses
I want to know What are the features of installment payment?,fees
Kindly Does NIET have installment payment?,fees
Can you please Provide some information on Civil Engineering,civil_courses
What is the syllabus for hostel facilities?,hostel
Can you please Give me information about sports facilities at NIET,infrastructure
Can you please Tell me about medical facilities,infrastructure
How is ac room at NIET?,hostel
Can you please What services are included in mess?,hostel
Can you please Can you explain about Civil branch?,civil_courses
Can you please Duration of hostel facilities course?,hostel
Provide some information on internship,placement
Career opportunities in admission,admissions
Kindly How is CSE at NIET?,cse_courses
I want to know Give me details of Data Science,ai_courses
I want to know How is companies at NIET?,placement
What is admission date?,admissions
Placement details for boys hostel,hostel
Can you please Give me information about B.Tech fees at NIET,fees
Kindly Provide some information on library,infrastructure
Kindly Give details about highest package,placement
I want to know How is girls hostel at NIET?,hostel
Kindly Fees for Mechanical Engineering program?,mechanical_courses
Provide some information on Mechanical Engineering,mechanical_courses
Can you please What courses are offered in companies?,placement
Please What are the subjects in placement training?,placement
Kindly Is CSE available at NIET?,cse_courses
Is campus available on campus?,infrastructure
Please Does hostel provide hostel facilities?,hostel
Please What services are included in gym?,infrastructure
I want to know Does NIET offer Civil course?,civil_courses
Can you please Career opportunities in Civil branch,civil_courses
What courses are offered in hostel?,hostel
I want to know Placement details for Mechanical department,mechanical_courses
Please Placement details for Mechanical course,mechanical_courses
Please What is M.Tech fees?,fees
I want to know How is library at NIET?,infrastructure
I want to know Can you explain about JEE admission?,admissions
I want to know What labs are available for Civil department students?,civil_courses
Please Give me details of Artificial Intelligence,ai_courses
Tell me about wifi facility,infrastructure
Please Eligibility for AI and ML?,ai_courses
I want to know What is the syllabus for Mechanical Engineering?,mechanical_courses
Kindly Can you explain about internship?,placement
Please What is Artificial Intelligence?,ai_courses
I want to know What are the features of MBA fees?,fees
Please What courses are offered in Machine Learning?,ai_courses
I want to know Placement details for boys hostel,hostel
How is the hostel fees at NIET?,hostel
What is Computer Science Engineering?,cse_courses
Can you please Duration of campus course?,infrastructure
I want to know Placement details for hostel,hostel
Can you please Tell me about Electrical branch,electrical_courses
Kindly Provide some information on Data Science,ai_courses
Kindly Does NIET have canteen?,infrastructure
Please What labs are available for placement students?,placement
Please Tell me about hostel facility,hostel
How is girls hostel at NIET?,hostel
Does NIET offer Electrical branch?,electrical_courses
Kindly What is the syllabus for admission?,admissions
Is mess available on campus?,hostel
I want to know What courses are offered in Data Science?,ai_courses
Can you please Provide some information on wifi,infrastructure
Career opportunities in B.Tech fees,fees
Can you please What is the syllabus for ac room?,hostel
Please Does NIET offer AI program?,ai_courses
Is gym available on campus?,infrastructure
I want to know Can you explain about Electrical department?,electrical_courses
I want to know What is the syllabus for Mechanical branch?,mechanical_courses
Kindly Duration of Mechanical Engineering course?,mechanical_courses
Kindly What courses are offered in direct admission?,admissions
Is medical facilities free for students?,infrastructure
I want to know What is the syllabus for JEE admission?,admissions
Can I apply for Data Science?,ai_courses
Can you please Fees for girls hostel program?,hostel
I want to know Does hostel provide hostel fees?,hostel
I want to know What are the subjects in hostel fees?,hostel
I want to know What is Civil department?,civil_courses
Please Duration of ac room course?,hostel
I want to know What is Machine Learning?,ai_courses
I want to know Give me details of admission date,admissions
I want to know Is ac room free for students?,hostel
Is AI and ML available at NIET?,ai_courses
I want to know How is Machine Learning at NIET?,ai_courses
Kindly Is sports facilities available on campus?,infrastructure
Please What is girls hostel?,hostel
Please Eligibility for MBA fees?,fees
Provide some information on average package,placement
I want to know Does hostel provide canteen?,infrastructure
Please What is the syllabus for installment payment?,fees
Kindly What are the subjects in companies?,placement
Can you please How is Mechanical Engineering at NIET?,mechanical_courses
I want to know Give details about boys hostel,hostel
Can you please Career opportunities in Civil Engineering,civil_courses
Kindly How is the hostel fees at NIET?,hostel
Can you please Is Mechanical course available at NIET?,mechanical_courses
Please Tell me about MCA fees facility,fees
Kindly Career opportunities in admission date,admissions
Can you please Provide some information on girls hostel,hostel
Career opportunities in highest package,placement
Can you please What is Civil course?,civil_courses
Kindly What are the subjects in medical facilities?,infrastructure
Can you please What labs are available for sports facilities students?,infrastructure
Kindly Give me details of mess,hostel
Please Duration of Machine Learning course?,ai_courses
Can you please Placement details for Computer Science Engineering,cse_courses
I want to know How is medical facilities at NIET?,infrastructure
Can you please What services are included in canteen?,infrastructure
Please Can you explain about direct admission?,admissions
Can you please Provide some information on Civil department,civil_courses
Can you please Does NIET offer companies?,placement
Kindly Tell me about Electrical course,electrical_courses
Can you please Give details about wifi,hostel
I want to know Give details about sports facilities,infrastructure
Please Give me details of wifi,hostel
Please What is installment payment?,fees
Please Give me details of Computer Science Engineering,cse_courses
I want to know Can I apply for MCA fees?,fees
Please Give details about campus,infrastructure
Is college fees available on campus?,fees
Please What courses are offered in ac room?,hostel
Can you please Fees for Mechanical branch program?,mechanical_courses
I want to know What courses are offered in companies?,placement
Duration of Civil department course?,civil_courses
Can you please Fees for Civil course program?,civil_courses
Can you please Tell me about hostel,hostel
I want to know Give details about Computer Science,cse_courses
Provide some information on boys hostel,hostel
Please Duration of admission course?,admissions
Kindly Can I apply for wifi?,infrastructure
What courses are offered in average package?,placement
Please What services are included in canteen?,infrastructure
Kindly Is Computer Science Engineering available at NIET?,cse_courses
I want to know What is wifi?,infrastructure
Please What courses are offered in companies?,placement
Kindly Fees for direct admission program?,admissions
Can you please What is AI program?,ai_courses
Kindly What is the syllabus for Civil Engineering?,civil_courses
Can you please Give me details of gym,infrastructure
I want to know Is girls hostel available on campus?,hostel
I want to know Hostel fees for highest package students?,placement
I want to know Tell me about college fees,fees
Please Give details about admission process,admissions
I want to know Fees for sports facilities program?,infrastructure
Can I apply for canteen?,infrastructure
Does NIET offer average package?,placement
Kindly What is Data Science?,ai_courses
I want to know Give me details of AI program,ai_courses
Can you please Give me information about gym at NIET,infrastructure
What courses are offered in AI and ML?,ai_courses
Kindly What is admission form?,admissions
Can you please Does hostel provide hostel facilities?,hostel
What labs are available for Electrical Engineering students?,electrical_courses
Please How is Computer Science at NIET?,cse_courses
How is the ac room at NIET?,hostel
Kindly Is wifi free for students?,infrastructure
Provide some information on Civil branch,civil_courses
Can you please What is highest package?,placement
Please What is CSE?,cse_courses
Kindly What is boys hostel?,hostel
Can you please Give details about Mechanical department,mechanical_courses
I want to know What is the syllabus for Mechanical course?,mechanical_courses
Kindly Give details about placement,placement
Please Give details about admission date,admissions
Can you please Give me details of college fees,fees
What are the subjects in ac room?,hostel
I want to know Eligibility for JEE admission?,admissions
I want to know How is admission form at NIET?,admissions
Can you please Does NIET offer Computer Science?,cse_courses
Kindly Tell me about Civil branch,civil_courses
Tell me about medical facilities,infrastructure
Please How is MBA fees at NIET?,fees
Please What are the subjects in Artificial Intelligence?,ai_courses
Hostel fees for admission students?,admissions
Can you please Tell me about sports facilities,infrastructure
Please What is the syllabus for Artificial Intelligence?,ai_courses
What are the features of canteen?,infrastructure
Kindly What are the subjects in AI program?,ai_courses
I want to know What courses are offered in Electrical course?,electrical_courses
Please Duration of average package course?,placement
Kindly Provide some information on Artificial Intelligence,ai_courses
Please Can you explain about ac room?,hostel
I want to know Can I apply for placement?,placement
Can you please What services are included in wifi?,infrastructure
Can you please Give me details of AI and ML,ai_courses
Please What are the subjects in MBA fees?,fees
I want to know What courses are offered in hostel fees?,hostel
Can you please Does NIET offer Machine Learning?,ai_courses
Please Is B.Tech fees available on campus?,fees
Can you please Give me information about installment payment at NIET,fees
Kindly Placement details for campus,infrastructure
Please Tell me about MBA fees facility,fees
Can you please Is MBA fees available at NIET?,fees
Can you please What labs are available for installment payment students?,fees
Kindly Duration of admission process course?,admissions
I want to know Can I apply for direct admission?,admissions
Please What is admission form?,admissions
Can you please What is Electrical branch?,electrical_courses
Can you please Eligibility for Machine Learning?,ai_courses
Can you please How is campus at NIET?,infrastructure
Does NIET offer college fees?,fees
Kindly Is placement available at NIET?,placement
Please Career opportunities in highest package,placement
Kindly Hostel fees for Machine Learning students?,ai_courses
I want to know Is Civil course available at NIET?,civil_courses
Tell me about mess,hostel
Kindly Does NIET have B.Tech fees?,fees
Please Is tuition fee available at NIET?,fees
I want to know Provide some information on library,infrastructure
I want to know Eligibility for Mechanical branch?,mechanical_courses
Kindly Can you explain about ac room?,hostel
Please Duration of Electrical Engineering course?,electrical_courses
What is the syllabus for canteen?,infrastructure
Can you please Give details about internship,placement
Does NIET have girls hostel?,hostel
I want to know Career opportunities in placement,placement
Kindly Eligibility for Electrical department?,electrical_courses
Please How is Civil department at NIET?,civil_courses
Kindly What is wifi?,hostel
I want to know Give details about Mechanical course,mechanical_courses
Please Can I apply for average package?,placement
I want to know What labs are available for gym students?,infrastructure
What are the features of sports facilities?,infrastructure
I want to know Placement details for internship,placement
Can you please What are the subjects in average package?,placement
Can I apply for placement training?,placement
How is gym at NIET?,infrastructure
Can you please Is hostel available on campus?,hostel
Can you please Does NIET offer sports facilities?,infrastructure
Please Tell me about hostel facilities facility,hostel
Fees for Mechanical Engineering program?,mechanical_courses
Kindly Tell me about M.Tech fees,fees
Please What is the syllabus for highest package?,placement
Please Does NIET have wifi?,hostel
Can you explain about placement?,placement
I want to know How is the sports facilities at NIET?,infrastructure
Can you please Does NIET have college fees?,fees
Kindly Give details about canteen,infrastructure
What services are included in canteen?,infrastructure
Tell me about MBA fees facility,fees
Can I apply for campus?,infrastructure
Is average package available at NIET?,placement
What is library?,infrastructure
Can you please What is the syllabus for library?,infrastructure
Can you please Tell me about Computer Science,cse_courses
Can you please What are the features of B.Tech fees?,fees
I want to know Duration of installment payment course?,fees
Kindly Provide some information on girls hostel,hostel
Please What are the features of M.Tech fees?,fees
Can you please What labs are available for admission form students?,admissions
I want to know Hostel fees for Electrical branch students?,electrical_courses
Can you please Eligibility for ac room?,hostel
Can you please What are the features of hostel fees?,hostel
How is Mechanical Engineering at NIET?,mechanical_courses
Kindly How is mess at NIET?,hostel
I want to know What are the subjects in Civil department?,civil_courses
Kindly Career opportunities in Machine Learning,ai_courses
Kindly What is Electrical branch?,electrical_courses
Please How is internship at NIET?,placement
I want to know What labs are available for Civil Engineering students?,civil_courses
Can you please Provide some information on direct admission,admissions
I want to know Can you explain about wifi?,infrastructure
Kindly What is the syllabus for AI and ML?,ai_courses
I want to know Placement details for Civil course,civil_courses
Kindly Is Data Science available at NIET?,ai_courses
Please Give details about Mechanical Engineering,mechanical_courses
Can you please Fees for mess program?,hostel
Please Tell me about placement training,placement
Can you please Give details about M.Tech fees,fees
Kindly What labs are available for direct admission students?,admissions
Please Provide some information on Computer Science,cse_courses
Please Does NIET offer placement training?,placement
I want to know What labs are available for B.Tech fees students?,fees
Tell me about library facility,infrastructure
Please Tell me about tuition fee,fees
Kindly Can you explain about AI program?,ai_courses
Kindly Fees for companies program?,placement
I want to know Is admission date available at NIET?,admissions
Kindly What are the features of mess?,hostel
Can you please Give details about Electrical course,electrical_courses
Kindly Does hostel provide tuition fee?,fees
What labs are available for hostel fees students?,hostel
Can you please Is gym available on campus?,infrastructure
I want to know Does NIET have ac room?,hostel
Please Tell me about wifi facility,hostel
Please Is sports facilities available at NIET?,infrastructure
Can you please Tell me about installment payment,fees
Kindly Placement details for Civil Engineering,civil_courses
Please What is Civil branch?,civil_courses
Kindly Can you explain about companies?,placement
Give details about Data Science,ai_courses
Hostel fees for Civil Engineering students?,civil_courses
Can you please Is wifi free for students?,infrastructure
Eligibility for JEE admission?,admissions
Please Give me details of MBA fees,fees
Kindly Give details about CSE,cse_courses
Can you please What courses are offered in CSE?,cse_courses
Please Fees for boys hostel program?,hostel
I want to know Provide some information on Machine Learning,ai_courses
Can you please Provide some information on Mechanical course,mechanical_courses
Please Provide some information on wifi,infrastructure
I want to know Give me details of Mechanical branch,mechanical_courses
Can you please Give me details of Artificial Intelligence,ai_courses
Hostel fees for direct admission students?,admissions
Please Eligibility for placement?,placement
Provide some information on hostel facilities,hostel
Kindly Does NIET offer hostel fees?,hostel
Can you please Does NIET offer installment payment?,fees
Give details about Electrical course,electrical_courses
Kindly Career opportunities in library,infrastructure
Can you please Hostel fees for MBA fees students?,fees
Can you please Can you explain about placement?,placement
I want to know Does NIET offer hostel facilities?,hostel
Please What are the subjects in Civil department?,civil_courses
Please Does hostel provide wifi?,hostel
Career opportunities in tuition fee,fees
Kindly Tell me about Electrical department,electrical_courses
Placement details for CSE,cse_courses
Can you explain about Computer Science?,cse_courses
Can you please Can I apply for direct admission?,admissions
Career opportunities in CSE,cse_courses
Kindly What courses are offered in Data Science?,ai_courses
Please Hostel fees for Machine Learning students?,ai_courses
Please Does NIET offer Computer Science?,cse_courses
Kindly What services are included in girls hostel?,hostel
Can you please Give me details of Mechanical course,mechanical_courses
Kindly Tell me about Electrical Engineering,electrical_courses
Kindly Give me details of campus,infrastructure
Please Is JEE admission available at NIET?,admissions
Can you please What is the syllabus for Mechanical department?,mechanical_courses
Can you please Duration of CS branch course?,cse_courses
Kindly Does NIET offer canteen?,infrastructure
Eligibility for Artificial Intelligence?,ai_courses
Kindly What are the features of library?,infrastructure
Eligibility for Mechanical department?,mechanical_courses
Kindly What is the syllabus for JEE admission?,admissions
Can you please What is Mechanical department?,mechanical_courses
Can you please Is B.Tech fees available on campus?,fees
How is MBA fees at NIET?,fees
Can you please Tell me about placement,placement
Please Can you explain about M.Tech fees?,fees
I want to know Hostel fees for average package students?,placement
Please Give details about CSE,cse_courses
I want to know What courses are offered in admission process?,admissions
I want to know How is internship at NIET?,placement
Please What is Mechanical branch?,mechanical_courses
Please What labs are available for canteen students?,infrastructure
